	sichuan	:	四川省
	beijing	:	北京市
	tianjin	:	天津市
	hebei	:	河北省
	sanxi	:	山西省
	neimenggu		:	内蒙古自治区
	liaolin	:	辽宁省
	jilin	:	吉林省
	heilongjiang	:	黑龙江省
	shanghai		:	上海市
	jiangsu	:	江苏省
	zhejing	:	浙江省
	aihui	:	安徽省
	fujian	:	福建省
	jiangxi	:	江西省
	shandong		:	山东省
	henan	:	河南省
	hubei	:	湖北省
	hunan	:	湖南省
	guangdong		:	广东省
	guangxi	:	广西壮族自治区
	hainan	:	海南省
	chongqing		:	重庆市
	guizhou	:	贵州省
	yunnan	:	云南省
	xizang	:	西藏自治区
	shanxi_s		:	陕西省
	gansu	:	甘肃省
	qinghai	:	青海省
	ningxia	:	宁夏回族自治区
	xinjiang		:	新疆维吾尔自治区
	xianggang		:	香港特别行政区
	aomen 	:	澳门特别行政区
	taiwan	:	台湾省
